1;1;259;4;2016-01-01 00:00:00.000;2016-01-03;2016-01-03;1;2
1;2;1212;4;2016-01-01 00:00:00.000;2016-01-04;2016-01-03;2;6
1;3;523;4;2016-01-02 00:00:00.000;2016-01-05;2016-01-03;2;7
1;4;175;4;2016-01-03 00:00:00.000;2016-01-04;2016-01-05;1;3
1;5;1324;4;2016-01-03 00:00:00.000;2016-01-06;2016-01-06;2;6
1;6;94;4;2016-01-04 00:00:00.000;2016-01-07;2016-01-05;2;6
1;7;324;4;2016-01-04 00:00:00.000;2016-01-07;2016-01-05;2;6
1;8;1204;4;2016-01-04 00:00:00.000;2016-01-05;2016-01-05;2;7
1;9;60;4;2016-01-05 00:00:00.000;2016-01-08;2016-01-08;1;2
1;10;442;4;2016-01-05 00:00:00.000;2016-01-06;2016-01-06;2;6
1;11;1326;4;2016-01-05 00:00:00.000;2016-01-08;2016-01-07;2;7
1;12;91;4;2016-01-06 00:00:00.000;2016-01-08;2016-01-09;1;2
1;13;873;4;2016-01-08 00:00:00.000;2016-01-11;2016-01-11;2;6
1;14;258;4;2016-01-09 00:00:00.000;2016-01-11;2016-01-12;1;3
1;15;450;4;2016-01-09 00:00:00.000;2016-01-10;2016-01-12;2;7
1;16;552;4;2016-01-12 00:00:00.000;2016-01-15;2016-01-15;1;3
1;17;1175;4;2016-01-12 00:00:00.000;2016-01-14;2016-01-14;1;3
1;18;541;4;2016-01-14 00:00:00.000;2016-01-17;2016-01-15;1;3
1;19;696;4;2016-01-14 00:00:00.000;2016-01-17;2016-01-16;1;2
1;20;923;4;2016-01-14 00:00:00.000;2016-01-16;2016-01-17;1;2
1;21;1250;4;2016-01-15 00:00:00.000;2016-01-16;2016-01-18;2;6
1;22;1035;4;2016-01-16 00:00:00.000;2016-01-18;2016-01-17;1;2
1;23;1149;4;2016-01-16 00:00:00.000;2016-01-19;2016-01-19;1;2
1;24;636;4;2016-01-18 00:00:00.000;2016-01-20;2016-01-19;2;7
1;25;657;4;2016-01-18 00:00:00.000;2016-01-21;2016-01-21;2;6
1;26;1280;4;2016-01-18 00:00:00.000;2016-01-21;2016-01-19;2;7
1;27;57;4;2016-01-19 00:00:00.000;2016-01-21;2016-01-20;2;7
1;28;252;4;2016-01-19 00:00:00.000;2016-01-20;2016-01-21;2;6
1;29;437;4;2016-01-20 00:00:00.000;2016-01-22;2016-01-21;2;6
1;30;1348;4;2016-01-20 00:00:00.000;2016-01-21;2016-01-21;2;6
1;31;1238;4;2016-01-20 00:00:00.000;2016-01-22;2016-01-22;3;8
